Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BH-18650-4,1,BH-18650-4,C49118399
"C1, C16, C17, C19, C2, C21, C22, C23, C30, C33, C5",0402,11,100n,C1525
"C10, C11, C12, C14, C24, C28, C6, C7, C8, C9",0603,10,1u/50V,C15849
"C13, C15",0603,2,22u,C59461
"C18, C29",0603,2,10u,C19702
"C20, C3, C34, C4",0805,4,4.7u/25V,C1779
"C25, C32",0603,2,10n,C57112
"C26, C27",0402,2,12.5p,C1547
C31,1206,1,1nF 2kV X7R,C9196
"D1, D2, D8",D_SOD-323,3,1N5819WS,C191023
"D3, D7",D_SOD-523,2,ESD5Z5V0,C21714169
D4,0603,1,KT-0603W,C2290
D5,0603,1,KT-0603R,C2286
D6,D_SOD-123,1,1N5817W,C5185908
"F1, F2",SCF6125F2A250V,2,SCF6125F2A250V,C19712554
FB1,0603,1,BLM18PG121SN1D,C14709
J1,Connector_1x24_epaper,1,ZX-FPC-FWSX0.5PH224,C7419878
"J10, J11, J4, J5, J6, J8, J9",PinHeader_1x02_P2.54mm_Vertical_SMD_Pin1Left,7,DZ254S-11-02-48,C5160785
J2,UC18-0B06F68011,1,UC18-0B06F68011,C36936555
J3,Connector_STLINKV3_Minie_14P,1,BH127VS-14P-H49,C42462827
L1,0805,1,10u,C1046
L2,SPM4030T-R47M-HZ,1,470n,C531455
"Q1, Q2, Q9",SOT-23,3,AO3400A,C20917
"Q3, Q6, Q7, Q8",SOT-23,4,AO3401A,C15127
Q5,FS8205A,1,FS8205A,C2830320
"R1, R2",0603,2,4k7,C23162
"R10, R25, R6",0603,3,100k,C25803
R11,0603,1,511k,C23192
R12,0603,1,82k,C23254
R13,0603,1,470,C23179
R14,0603,1,150,C22808
R15,0603,1,1k2,C22765
R16,0603,1,100,C22775
R17,0603,1,1k,C21190
"R18, R7",0603,2,5k1,C23186
"R19, R21, R22, R8, R9",0603,5,1M,C22935
"R23, R4, R5",0603,3,10k,C25804
R24,0603,1,33k,C4216
R3,0603,1,2,C22977
R35,0603,1,9k1,C23260
R36,0603,1,1,C22936
U1,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,1,BME280,C92489
U2,LQFP-64_10x10mm_P0.5mm,1,STM32L476RGTx,C74797
U3,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,1,TP4056-42-ESOP8,C16581
U4,VREG_TPS63802DLAR,1,TPS63802DLAR,C2845237
U5,SOT-23-6,1,DW01A,C42380662
Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,Crystal,C2450907
