Designator,Mid X,Mid Y,Rotation,Layer
BT1,45.0,11.0,0.0,top
C1,6.45,59.7,180.0,top
C10,33.3,38.0,0.0,top
C11,30.1,43.3,0.0,top
C12,29.4,28.375,0.0,top
C13,95.15,42.35,90.0,top
C14,30.2,35.7,0.0,top
C15,87.4,36.625,270.0,top
C16,93.3,23.4,0.0,top
C17,78.6,29.1,90.0,top
C18,88.05,30.7,90.0,top
C19,55.625,36.85,270.0,top
C2,6.925,57.925,90.0,top
C20,65.55,45.125,270.0,top
C21,51.27,41.22,270.0,top
C22,63.8,45.575,270.0,top
C23,63.85,53.025,90.0,top
C24,59.475,39.8,0.0,top
C25,59.475,41.3,0.0,top
C26,54.85,41.2,180.0,top
C27,52.95,41.2,0.0,top
C28,51.85,57.575,180.0,top
C29,93.6,22.1,180.0,top
C3,38.3,33.0,270.0,top
C30,48.85,44.575,270.0,top
C31,99.0,14.9,180.0,top
C32,93.9,8.9,90.0,top
C33,95.6,4.9,180.0,top
C34,96.1,2.2,270.0,top
C4,31.4,31.2,90.0,top
C5,52.15,56.275,180.0,top
C6,29.4,31.4,270.0,top
C7,29.4,40.9,90.0,top
C8,30.225,33.8,0.0,top
C9,30.2,38.1,0.0,top
D1,33.4,36.0,0.0,top
D2,33.4,40.0,180.0,top
D3,96.3,11.3,90.0,top
D4,105.125,57.0,270.0,top
D5,105.15,52.7,90.0,top
D6,102.85,27.25,180.0,top
D7,67.4,28.5,90.0,top
D8,38.8,36.29,180.0,top
F1,91.07,5.52,90.0,top
F2,75.5,24.0,180.0,top
FB1,94.6,6.5,0.0,top
J1,21.0,32.0,270.0,top
J10,92.36,15.48,270.0,top
J11,84.9,25.9,180.0,top
J2,103.0,7.4,90.0,top
J3,86.425,55.85,90.0,top
J4,83.2,38.5,0.0,top
J5,18.96,57.93,180.0,top
J6,40.035,27.31,180.0,top
J8,102.1,37.8,0.0,top
J9,72.625,49.65,0.0,top
L1,34.4,32.0,0.0,top
L2,95.95,37.95,270.0,top
Q1,34.4,23.8,270.0,top
Q2,48.85,30.15,90.0,top
Q3,45.7425,26.7238,180.0,top
Q5,76.3,34.8,90.0,top
Q6,64.3,34.6,270.0,top
Q7,67.2,24.6,90.0,top
Q8,102.825,30.5,270.0,top
Q9,60.7,32.9875,180.0,top
R1,13.725,58.55,90.0,top
R10,91.975,37.7,180.0,top
R11,89.6,38.45,90.0,top
R12,89.05,41.55,90.0,top
R13,102.175,57.775,0.0,top
R14,102.1,51.9,0.0,top
R15,97.45,26.15,270.0,top
R16,80.3,29.4,90.0,top
R17,73.1,33.175,90.0,top
R18,98.2,3.9,270.0,top
R19,98.8,17.1,180.0,top
R2,11.75,59.225,270.0,top
R21,57.6,32.475,270.0,top
R22,64.3,31.7375,180.0,top
R23,63.45,37.5375,180.0,top
R24,60.9,36.7875,270.0,top
R25,69.7,25.7,270.0,top
R3,30.15,26.8,180.0,top
R35,86.77,42.44,180.0,top
R36,32.7,27.55,270.0,top
R4,31.025,22.6,180.0,top
R5,45.7,44.525,90.0,top
R6,102.025,24.825,180.0,top
R7,98.2,7.0,270.0,top
R8,48.8,26.65,90.0,top
R9,48.95,33.35,180.0,top
U1,9.125,58.725,0.0,top
U2,56.4,48.8,0.0,top
U3,92.65,27.95,90.0,top
U4,92.2,40.4,0.0,top
U5,75.8,28.6,180.0,top
Y2,53.9,39.4,180.0,top
